#OTU ID	S1	S11	S13	S17	S19	S2	S23	S25	S29	S31	S35	S37	S39	S41	S45	S47	S5	S51	S55	S57	S7
Otu388	0	0	1	6	1	0	0	0	1	1	1	0	0	3	17	0	2	3	0	1	1
Otu251	0	0	2	4	7	0	2	1	1	0	1	2	0	0	0	1	9	0	1	1	7
Otu533	0	0	2	4	0	0	3	6	2	0	0	4	1	0	0	0	3	1	7	3	1
Otu893	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
Otu396	0	0	2	0	0	0	0	2	2	0	0	1	2	0	0	0	1	2	1	2	0
Otu779	0	0	1	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu655	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	0	1	1
Otu306	0	0	1	0	0	0	0	1	1	0	0	7	0	0	0	0	0	1	0	8	0
Otu755	0	0	2	0	1	0	0	0	1	0	0	0	3	13	5	9	0	0	0	3	0
Otu967	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu357	0	0	1	1	2	0	0	1	3	1	0	0	1	0	0	1	6	0	1	7	2
Otu331	0	0	2	3	0	0	3	7	2	0	0	1	0	0	0	1	0	1	7	2	0
Otu993	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu431	0	0	1	1	0	8	0	0	2	3	0	0	1	0	0	0	0	0	0	1	2
Otu477	0	0	3	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	4	0
Otu995	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0
Otu748	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Otu505	0	0	3	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	2	0	1
Otu257	0	0	3	1	3	0	1	0	2	1	10	1	0	0	6	0	5	0	1	0	0
Otu925	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0
Otu768	0	0	4	7	3	0	5	23	0	0	1	0	2	1	3	6	2	0	2	0	1
Otu865	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Otu626	0	0	2	0	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	2	0
Otu670	0	0	1	2	0	0	0	0	1	2	0	2	1	0	3	1	1	0	0	0	0
Otu730	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0
Otu463	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	7	0
Otu876	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Otu254	0	0	3	8	1	0	11	4	0	0	2	0	0	1	1	1	1	0	2	2	1
Otu126	0	0	1	5	0	10	0	0	2	2	0	1	1	0	55	3	3	0	0	0	1
Otu197	0	0	1	16	10	2	0	1	0	2	0	0	0	0	1	2	1	0	1	2	1
Otu522	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	2	0	1	5	1
Otu674	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	2	0	1	1	0
Otu555	0	0	2	5	0	2	3	1	2	1	0	1	0	0	0	0	4	0	0	2	1
Otu335	0	0	4	5	9	0	1	6	0	2	0	1	1	0	0	0	0	0	2	4	1
Otu637	0	0	2	0	0	0	0	1	2	3	0	0	0	6	0	1	1	0	1	1	1
Otu287	0	0	1	3	2	0	6	8	1	2	0	1	2	5	2	0	3	0	0	0	2
Otu934	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0
Otu858	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu803	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
Otu685	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu392	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	4	1	0	0	0	0
Otu636	0	0	2	0	3	0	0	1	2	0	0	1	4	2	12	1	0	0	0	0	1
Otu942	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0
Otu933	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu535	0	0	1	0	0	3	0	1	1	0	0	2	1	0	0	1	2	0	1	1	0
Otu244	0	0	1	0	1	0	1	1	1	0	0	1	0	0	13	9	2	0	0	1	1
Otu573	0	0	1	0	1	1	1	1	0	1	0	2	0	0	0	1	1	1	0	2	0
Otu937	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	5	0
Otu608	0	0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	2	1	0	3	0
Otu949	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	2	0	1	1	0
Otu481	0	0	1	0	0	0	0	2	2	3	0	1	0	0	0	0	0	2	0	2	1
Otu733	0	0	4	0	2	1	2	1	3	1	0	1	0	1	1	1	3	0	0	2	0
Otu773	0	0	1	1	3	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0
Otu841	0	0	2	0	1	0	1	1	2	0	0	1	0	0	2	1	1	0	0	0	1
Otu593	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	2	0	0	0
Otu947	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu878	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
Otu635	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
Otu772	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0
Otu645	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0
Otu585	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	3	0	0	0	1	0
Otu870	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	2	1	0	1	1	0
Otu507	0	0	1	0	1	0	0	0	2	1	0	0	0	2	1	2	2	0	0	1	2
Otu931	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu542	0	0	1	0	1	0	0	0	1	0	0	1	0	0	2	0	3	0	0	1	0
Otu701	0	0	2	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Otu691	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0
Otu857	0	0	1	1	0	1	0	0	0	0	0	0	0	0	6	1	1	1	0	0	1
Otu778	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	0
Otu326	0	0	2	0	1	0	1	1	3	1	0	0	1	4	3	9	0	1	0	2	1
Otu952	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	2
Otu699	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	1	0	0
Otu596	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu882	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu569	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	1
Otu864	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu916	0	0	1	0	4	0	1	0	0	0	0	0	1	3	0	0	1	0	0	1	0
Otu911	0	0	1	4	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
Otu824	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu762	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu745	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0
Otu846	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu927	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu563	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu962	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Otu638	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Otu840	0	0	1	0	0	2	0	0	1	0	0	3	0	0	1	0	2	1	0	0	0
Otu994	0	0	1	0	2	0	0	0	0	0	0	1	1	3	0	0	1	0	0	0	0
Otu662	0	0	1	1	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0
Otu543	0	0	1	1	1	1	1	1	1	0	1	4	0	0	2	2	2	0	2	0	1
Otu265	0	0	1	0	1	0	0	0	0	2	1	3	0	1	3	5	1	1	1	3	0
Otu977	0	0	1	2	0	0	0	0	0	0	0	0	3	0	1	1	3	0	1	4	1
Otu786	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	2	0	0	0	3
Otu839	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0
Otu871	0	0	1	0	0	0	1	1	0	0	0	0	0	3	1	0	1	0	4	4	1
Otu652	0	0	1	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1
Otu564	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0
Otu987	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Otu501	0	0	1	0	1	0	0	0	1	0	0	1	1	0	2	0	0	0	1	1	0
Otu677	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2	3	0	1	0	0	0
Otu676	0	0	0	1	0	2	0	0	0	0	0	0	2	0	6	6	0	0	0	0	0
Otu835	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Otu292	0	0	0	28	0	0	0	0	2	0	0	0	0	6	0	9	0	0	0	0	0
Otu913	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu417	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu499	0	0	0	1	2	0	1	0	1	1	0	1	1	0	1	1	0	2	1	1	1
Otu405	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu539	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu759	0	0	0	1	2	2	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0
Otu548	0	0	0	4	2	3	2	0	2	1	0	4	1	0	0	0	3	0	0	4	1
Otu886	0	0	0	4	1	0	0	1	0	1	0	1	5	0	0	0	0	0	0	0	0
Otu305	0	0	0	17	2	1	2	0	1	0	1	2	0	0	4	2	0	0	0	1	0
Otu837	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Otu471	0	0	0	3	10	0	2	0	0	1	0	2	2	3	0	0	2	0	0	2	0
Otu714	0	0	0	1	0	0	0	0	0	2	1	0	1	0	4	4	0	0	0	0	1
Otu491	0	0	0	4	0	3	1	0	1	1	1	1	1	1	4	0	2	1	2	0	1
Otu920	0	0	0	1	2	0	0	0	0	0	0	0	3	4	1	3	1	0	1	1	0
Otu873	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu817	0	0	0	1	0	0	1	0	0	1	0	5	2	0	0	1	0	0	1	5	1
Otu579	0	0	0	4	4	0	0	0	0	1	1	0	1	2	15	2	1	0	0	0	1
Otu484	0	0	0	1	3	1	0	4	1	0	0	0	1	2	0	0	0	0	1	1	0
Otu891	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu470	0	0	0	2	0	4	0	1	0	0	0	1	0	0	2	0	1	0	1	3	1
Otu511	0	0	0	5	1	1	2	0	0	1	0	3	0	0	0	2	0	2	0	0	1
Otu955	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
Otu345	0	0	0	1	0	0	0	0	2	0	0	0	1	1	6	7	0	0	0	0	0
Otu793	0	0	0	1	1	0	1	3	2	0	0	0	0	0	0	0	1	1	2	1	1
Otu827	0	0	0	2	0	3	0	0	0	0	0	0	0	0	3	2	1	1	0	2	1
Otu1001	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu804	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	1
Otu999	0	0	0	4	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
Otu877	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
Otu603	0	0	0	4	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1
Otu887	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0
Otu881	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0
Otu924	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu394	0	0	0	2	0	0	0	1	0	0	0	0	1	3	2	0	0	0	0	3	0
Otu549	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
Otu594	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu566	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0
Otu739	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0
Otu894	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu834	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1
Otu903	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu936	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0
Otu693	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
Otu395	0	0	0	3	1	0	1	1	1	0	0	0	4	2	0	0	0	0	4	0	0
Otu460	0	0	0	1	1	0	0	0	0	1	0	1	0	0	2	2	0	0	1	0	0
Otu830	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu726	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	3	2	2	0	0
Otu592	0	0	0	2	1	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0
Otu587	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	1	4	0	0	2	2
Otu515	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Otu644	0	0	0	1	0	4	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0
Otu204	0	0	0	2	3	5	0	0	2	2	0	2	1	0	3	3	10	1	0	6	3
Otu917	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu880	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
Otu567	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Otu780	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0
Otu393	0	0	0	1	0	0	0	3	1	1	0	0	0	0	5	5	1	0	1	2	0
Otu823	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
Otu400	0	0	0	1	0	0	0	0	1	1	0	2	0	1	0	0	1	0	0	0	1
Otu531	0	0	0	1	1	0	0	0	0	0	0	1	1	0	4	15	0	0	0	0	0
Otu509	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	1
Otu282	0	0	0	1	0	1	1	2	0	0	1	14	0	0	1	0	2	1	1	5	1
Otu951	0	0	0	1	0	3	0	0	0	1	1	1	2	0	2	2	0	1	0	0	0
Otu546	0	0	0	1	1	0	0	0	0	1	0	0	0	2	3	2	0	1	0	2	0
Otu547	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	3	3	1
Otu965	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0
Otu879	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0
Otu998	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu206	0	0	0	0	2	15	0	6	3	0	0	26	0	0	1	0	3	10	0	0	3
Otu794	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Otu414	0	0	0	0	1	0	0	1	0	1	0	1	1	1	2	1	2	0	0	2	1
Otu617	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
Otu571	0	0	0	0	1	1	0	0	0	2	0	1	1	0	3	3	1	1	2	0	0
Otu736	0	0	0	0	1	0	0	1	0	0	0	0	2	8	0	0	0	0	0	0	0
