#OTU ID	S11	S13	S17	S19	S1	S23	S25	S29	S2	S31	S35	S37	S39	S41	S45	S47	S51	S55	S57	S5	S7
Otu577	7	57	12	2	17	0	2	0	1	4	0	0	0	0	1	10	0	4	0	0	3
Otu1930	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu63	49	134	113	42	63	21	37	41	3	110	15	26	74	25	54	63	38	76	11	84	61
Otu175	12	62	1	9	1	0	0	0	0	0	0	0	8	62	2	3	0	14	2	7	3
Otu850	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Otu2091	1	3	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu274	6	48	23	11	15	5	17	17	2	36	3	31	39	7	11	11	7	12	2	18	23
Otu116	3	8	3	5	0	4	23	5	0	1	1	2	0	33	10	3	53	23	4	13	11
Otu47	10	44	0	3	20	16	33	24	4	21	3	41	5	13	18	20	30	50	17	88	91
Otu379	1	4	0	1	0	1	1	0	0	0	0	0	0	6	0	3	0	5	0	2	4
Otu1578	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1322	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu152	8	38	62	15	27	7	19	14	1	38	8	15	37	17	10	21	19	34	2	28	24
Otu55	4	0	46	6	38	0	0	3	5	150	2	136	62	52	81	273	2	4	180	25	10
Otu125	12	66	42	14	40	11	18	11	0	46	8	8	17	19	37	37	22	25	14	47	36
Otu171	6	8	3	14	15	4	9	6	1	4	2	10	7	0	7	0	29	6	5	49	20
Otu478	6	3	1	1	0	11	5	7	0	9	0	7	1	17	2	9	13	0	1	6	3
Otu102	28	122	1	1	0	2	4	1	0	1	0	0	0	0	2	0	1	0	0	7	5
Otu579	5	3	3	1	1	0	0	0	0	3	0	1	1	0	0	2	0	0	5	1	6
Otu155	9	29	29	3	17	11	9	5	1	8	1	1	4	2	16	13	8	11	1	14	8
Otu280	1	6	2	1	39	1	0	1	8	0	0	4	5	0	0	0	2	27	1	4	1
Otu233	8	4	2	0	0	0	2	3	0	0	0	21	0	4	0	0	2	9	4	3	5
Otu996	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu22	30	151	9	6	10	47	46	9	0	38	25	19	2	12	51	74	16	187	129	610	171
Otu123	25	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1476	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu72	3	0	0	0	0	0	7	0	0	0	3	294	0	0	8	25	0	0	0	0	0
Otu1362	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu139	4	6	4	12	0	1	8	0	0	14	0	0	9	13	8	6	3	51	9	11	6
Otu747	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	4	0	0	0	1
Otu1179	1	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0
Otu1499	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1
Otu284	2	6	6	3	1	1	3	11	0	3	1	12	1	1	2	11	4	3	1	3	3
Otu138	8	44	0	8	0	4	0	3	0	12	0	2	8	12	3	4	3	6	6	0	9
Otu197	3	27	13	13	11	10	4	2	1	6	2	2	1	10	8	7	4	7	8	17	7
Otu17	10	649	3	1	0	54	218	30	0	90	3	181	3	37	166	105	15	28	9	31	9
Otu423	1	7	0	0	0	0	0	0	0	0	0	8	0	0	0	1	1	0	2	0	0
Otu424	33	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	24
Otu804	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu185	1	0	0	0	0	1	2	2	0	0	0	26	20	10	0	5	2	8	4	3	1
Otu398	1	5	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	12	0	8	4
Otu41	7	41	15	13	18	7	24	40	2	14	15	305	4	4	19	5	141	86	58	82	50
Otu189	2	0	2	0	0	28	19	0	0	0	0	0	0	0	0	0	0	8	1	1	4
Otu316	4	5	0	0	7	4	8	0	0	2	1	3	1	4	3	0	24	1	0	0	0
Otu1103	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	2
Otu124	2	22	1	6	12	0	9	5	0	0	0	0	4	7	18	0	19	3	0	10	22
Otu236	1	4	0	0	2	1	2	2	1	8	4	4	2	1	0	0	13	3	7	0	8
Otu547	2	5	2	1	0	3	1	0	0	2	0	0	1	2	0	1	0	2	0	8	1
Otu107	5	19	16	11	0	30	20	1	0	5	0	0	2	0	2	6	0	1	1	78	49
Otu309	2	0	2	0	10	3	9	13	1	9	0	52	0	0	3	0	0	21	7	2	20
Otu458	13	0	0	0	0	0	0	0	0	3	14	0	0	2	0	0	0	0	0	5	0
Otu210	26	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu49	20	99	114	28	74	12	32	29	5	64	18	9	18	20	64	43	39	53	15	68	65
Otu802	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu85	3	18	13	1	0	19	23	1	0	0	0	0	0	1	5	15	1	3	0	270	245
Otu23	9	69	24	33	0	38	75	15	0	17	0	1	132	406	11	20	7	25	11	86	65
Otu714	1	0	3	0	0	1	0	0	0	0	0	0	2	1	1	1	1	0	1	0	0
Otu144	5	11	0	0	0	1	4	5	0	0	1	56	24	1	5	1	3	4	1	2	0
Otu230	5	15	5	7	6	6	3	8	0	11	2	1	7	5	8	10	4	2	6	12	6
Otu192	12	20	22	5	22	7	11	3	1	6	1	1	2	13	20	14	11	11	3	11	6
Otu21	6	32	33	10	98	12	9	47	0	141	8	19	15	14	136	296	37	20	8	29	64
Otu480	1	8	1	0	3	0	5	7	0	5	3	8	10	1	0	2	0	0	2	2	1
Otu1712	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu214	1	1	1	2	0	0	3	2	0	0	0	0	8	2	41	1	0	1	1	1	0
Otu367	2	5	15	4	2	0	1	0	0	0	0	0	0	0	2	2	8	2	0	6	15
Otu369	2	4	0	1	0	2	5	0	0	0	0	0	3	17	0	0	3	6	3	4	5
Otu176	6	16	9	0	1	1	6	6	0	14	0	11	4	0	1	0	2	22	8	13	21
Otu283	2	1	0	0	0	0	0	2	0	0	0	0	28	12	2	0	0	0	0	5	0
Otu2006	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu64	1	18	20	4	6	10	11	33	0	21	3	75	0	9	5	20	29	49	46	40	40
Otu789	1	3	1	0	1	0	0	4	0	0	0	1	2	0	0	2	0	1	0	0	3
Otu235	5	5	6	8	2	0	0	16	0	15	0	6	13	52	7	25	58	7	3	12	11
Otu67	1	5	1	63	3	4	19	10	0	80	0	30	9	26	1	4	3	33	5	9	22
Otu254	1	20	0	0	0	15	59	0	0	0	0	10	0	0	5	9	2	0	0	12	8
Otu1622	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0
Otu675	3	13	2	0	4	1	2	2	0	3	1	0	4	2	0	0	4	7	0	1	5
Otu130	4	11	0	0	1	2	5	3	0	2	3	113	1	6	0	1	6	9	6	3	8
Otu109	6	17	8	20	9	27	22	3	0	6	0	7	43	37	1	2	5	4	0	15	24
Otu979	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
Otu279	1	4	0	0	0	0	0	0	0	0	0	15	0	0	5	0	0	27	5	0	0
Otu677	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu504	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu92	9	19	5	11	2	8	12	10	1	4	1	48	23	9	0	0	20	31	8	28	20
Otu202	1	2	0	0	0	5	3	7	0	13	0	7	10	0	6	0	14	10	5	8	12
Otu259	3	7	1	5	5	0	1	10	1	0	0	1	1	4	0	5	3	4	5	5	2
Otu135	1	0	1	2	4	2	1	0	0	5	1	3	2	1	0	1	2	8	1	42	46
Otu1468	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu165	8	24	0	0	0	2	9	14	0	8	0	3	7	1	8	4	4	15	1	3	26
Otu1101	3	6	59	15	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	466	4
Otu159	5	19	22	10	16	8	6	4	1	17	5	1	4	6	22	12	4	16	6	7	14
Otu43	4	27	12	40	82	9	16	68	7	12	0	0	227	47	3	0	12	32	18	173	61
Otu593	6	3	0	3	0	3	4	5	0	0	0	0	0	0	0	0	2	0	0	0	3
Otu126	2	4	0	0	2	0	4	3	0	9	2	1	5	20	13	4	6	15	6	17	21
Otu306	5	16	0	0	0	0	0	0	0	0	0	5	0	0	1	2	10	1	0	4	0
Otu1000	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	6
Otu1203	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
Otu281	6	23	0	0	0	0	1	0	0	0	0	0	1	10	4	3	1	3	0	3	4
Otu363	5	6	1	3	0	0	0	0	0	0	0	9	0	2	1	1	6	8	8	9	9
Otu2134	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Otu997	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1
Otu76	3	11	10	112	0	0	1	14	0	19	1	27	18	4	14	50	0	0	1	6	6
Otu581	2	0	2	0	0	0	2	0	0	0	1	1	3	1	0	1	0	5	0	0	0
Otu10	13	37	39	23	68	4	18	29	5	78	14	0	9	59	36	38	45	1020	1884	111	77
Otu222	2	17	15	4	6	1	3	6	1	3	2	3	13	2	8	12	3	4	1	10	8
Otu57	4	34	30	24	10	3	11	5	0	20	0	76	44	41	19	22	41	52	23	5	29
Otu384	1	9	5	1	0	2	1	0	0	1	0	0	0	11	0	2	0	2	2	10	5
Otu136	1	0	0	6	17	0	0	0	1	8	0	0	3	22	52	48	7	7	5	0	1
Otu263	5	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	50	1
Otu1340	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0
Otu702	1	0	0	0	2	1	1	7	0	0	0	0	0	0	1	0	1	0	0	8	3
Otu442	1	0	0	1	5	0	0	13	0	2	0	4	0	1	1	0	0	0	0	6	3
Otu270	2	5	4	0	3	6	0	0	0	1	0	0	0	4	0	1	4	4	3	5	12
Otu371	4	10	2	4	4	1	2	5	0	1	0	0	0	0	2	3	0	1	0	45	32
Otu1710	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu465	1	10	1	0	0	0	2	2	0	3	0	0	0	10	3	3	1	2	3	5	4
Otu70	3	7	8	8	7	3	4	16	0	7	2	273	54	32	91	153	0	15	7	25	27
Otu1564	1	1	0	0	0	0	1	0	0	1	0	0	0	4	1	0	0	1	0	1	0
Otu1520	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1
Otu674	2	3	0	0	0	0	2	0	0	2	0	0	0	0	0	2	1	7	0	2	1
Otu1246	2	0	1	1	2	0	0	0	0	1	0	0	0	0	1	2	2	1	0	0	3
Otu592	2	1	0	0	0	1	1	0	0	0	0	0	0	2	0	2	0	0	0	0	2
Otu1166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
Otu331	7	10	0	7	0	3	0	0	0	1	0	0	0	2	0	4	0	4	1	2	4
Otu282	1	2	0	0	2	0	3	6	1	0	0	0	0	0	8	11	8	3	0	14	1
Otu1482	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu238	4	5	0	0	0	0	1	0	0	0	0	0	0	4	0	0	3	3	3	61	2
Otu345	3	1	0	1	0	0	0	3	3	0	2	0	0	0	0	0	0	2	0	16	0
Otu240	2	10	0	1	0	1	5	5	0	10	1	0	11	4	0	5	5	10	3	9	17
Otu1121	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2
Otu241	2	5	0	1	4	2	0	1	0	0	1	9	3	3	0	0	7	8	10	8	1
Otu1748	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu13	1	1	0	0	0	0	0	9	0	7	0	7	0	0	308	2808	3	6	7	0	1
Otu488	1	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu317	3	6	5	4	6	2	4	2	0	5	0	0	0	13	7	5	6	9	9	3	7
Otu1776	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
Otu149	2	7	4	12	1	0	6	6	1	5	0	0	0	0	3	4	0	0	0	88	31
Otu1891	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Otu1208	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	2	0	1
